Time(ms),Hall(mV),B(mT)
50601,532.2266,-0.54
50624,537.1094,-0.49
50648,532.2266,-0.54
50670,537.1094,-0.49
50692,546.8750,-0.39
50713,571.2891,-0.15
50735,620.1172,0.34
50757,673.8281,0.88
50779,771.4844,1.85
50800,937.5000,3.51
50823,1186.5234,6.01
50845,1596.6796,10.11
50869,2226.5625,16.41
50893,3022.4609,24.36
50917,3754.8828,31.69
50940,4077.1484,34.91
50965,3745.1171,31.59
50989,2983.3984,23.97
51012,2177.7343,15.92
51037,1547.8515,9.62
51059,1147.4609,5.61
51082,903.3203,3.17
51104,761.7188,1.76
51126,673.8281,0.88
51147,615.2344,0.29
51170,585.9375,-0.00
51192,566.4063,-0.20
51214,546.8750,-0.39
51236,537.1094,-0.49
51260,541.9922,-0.44
51282,546.8750,-0.39
51304,537.1094,-0.49
51325,541.9922,-0.44
51347,546.8750,-0.39
51369,541.9922,-0.44
51393,546.8750,-0.39
51416,537.1094,-0.49
51437,546.8750,-0.39
51459,541.9922,-0.44
51480,546.8750,-0.39
51503,537.1094,-0.49
51525,532.2266,-0.54
51549,541.9922,-0.44
51571,541.9922,-0.44
51593,541.9922,-0.44
51614,546.8750,-0.39
51636,571.2891,-0.15
51658,610.3516,0.24
51681,664.0625,0.78
51702,742.1875,1.56
51724,888.6719,3.03
51746,1123.0468,5.37
51769,1508.7890,9.23
51791,2094.7265,15.09
51816,2875.9765,22.90
51840,3657.2265,30.71
51864,4062.5000,34.77
51888,3867.1875,32.81
51911,3188.4765,26.02
51936,2382.8125,17.97
51959,1708.9843,11.23
51983,1240.2343,6.54
52006,957.0313,3.71
52028,781.2500,1.95
52049,673.8281,0.88
52072,615.2344,0.29
52093,581.0547,-0.05
52116,556.6406,-0.29
52140,541.9922,-0.44
52162,537.1094,-0.49
52185,537.1094,-0.49
52206,537.1094,-0.49
52228,537.1094,-0.49
52250,537.1094,-0.49
52273,537.1094,-0.49
52296,537.1094,-0.49
52319,537.1094,-0.49
52340,537.1094,-0.49
52362,541.9922,-0.44
52383,537.1094,-0.49
52406,537.1094,-0.49
52429,537.1094,-0.49
52452,532.2266,-0.54
52473,537.1094,-0.49
52495,537.1094,-0.49
52516,541.9922,-0.44
52539,551.7578,-0.34
52562,561.5234,-0.24
52585,615.2344,0.29
52606,678.7109,0.93
52628,776.3672,1.90
52651,927.7344,3.42
52672,1176.7578,5.91
52695,1577.1484,9.91
52718,2163.0859,15.77
52742,2954.1015,23.68
52765,3706.0546,31.20
52790,4072.2656,34.86
52813,3798.8281,32.13
52838,3056.6406,24.71
52861,2241.2109,16.55
52885,1591.7968,10.06
52910,1162.1093,5.76
52932,917.9688,3.32
52954,761.7188,1.76
52976,673.8281,0.88
52998,625.0000,0.39
53019,585.9375,-0.00
53043,566.4063,-0.20
53065,551.7578,-0.34
53087,546.8750,-0.39
53108,541.9922,-0.44
53130,537.1094,-0.49
53152,541.9922,-0.44
53176,541.9922,-0.44
53198,541.9922,-0.44
53220,541.9922,-0.44
53241,546.8750,-0.39
53263,541.9922,-0.44
53285,541.9922,-0.44
53309,541.9922,-0.44
53331,546.8750,-0.39
53353,537.1094,-0.49
53374,541.9922,-0.44
53396,541.9922,-0.44
53419,541.9922,-0.44
53441,541.9922,-0.44
53465,556.6406,-0.29
53487,566.4063,-0.20
53509,610.3516,0.24
53530,659.1797,0.73
53553,742.1875,1.56
53574,878.9063,2.93
53596,1108.3984,5.22
53619,1489.2578,9.03
53642,2060.5468,14.75
53665,2851.5625,22.66
53690,3632.8125,30.47
53713,4052.7343,34.67
53737,3891.6015,33.06
53762,3227.5390,26.42
53785,2431.6406,18.46
53809,1748.0468,11.62
53833,1264.6484,6.79
53856,961.9141,3.76
53877,791.0156,2.05
53900,683.5938,0.98
53921,620.1172,0.34
53943,581.0547,-0.05
53966,556.6406,-0.29
53988,541.9922,-0.44
54009,532.2266,-0.54
54032,532.2266,-0.54
54054,532.2266,-0.54
54078,532.2266,-0.54
54100,532.2266,-0.54
54122,537.1094,-0.49
54144,537.1094,-0.49
54165,537.1094,-0.49
54188,537.1094,-0.49
54211,541.9922,-0.44
54234,541.9922,-0.44
54255,532.2266,-0.54
54277,537.1094,-0.49
54298,532.2266,-0.54
54321,537.1094,-0.49
54344,532.2266,-0.54
54367,541.9922,-0.44
54388,551.7578,-0.34
54410,571.2891,-0.15
54431,615.2344,0.29
54453,673.8281,0.88
54475,766.6016,1.81
54497,922.8516,3.37
54518,1162.1093,5.76
54542,1552.7343,9.67
54564,2143.5546,15.58
54589,2924.8046,23.39
54612,3691.4062,31.05
54636,4062.5000,34.77
54661,3828.1250,32.42
54684,3100.5859,25.15
54708,2290.0390,17.04
54732,1625.9765,10.40
54756,1191.4062,6.05
54778,922.8516,3.37
54801,776.3672,1.90
54822,673.8281,0.88
54844,620.1172,0.34
54866,595.7031,0.10
54888,566.4063,-0.20
54909,546.8750,-0.39
54932,541.9922,-0.44
54956,541.9922,-0.44
54978,541.9922,-0.44
55000,541.9922,-0.44
55021,541.9922,-0.44
55043,537.1094,-0.49
55065,546.8750,-0.39
55088,537.1094,-0.49
55111,541.9922,-0.44
55134,541.9922,-0.44
55155,537.1094,-0.49
55177,541.9922,-0.44
55198,541.9922,-0.44
55221,537.1094,-0.49
55244,537.1094,-0.49
55267,541.9922,-0.44
55288,541.9922,-0.44
55310,551.7578,-0.34
55331,576.1719,-0.10
55355,600.5859,0.15
55376,629.8828,0.44
55398,693.3594,1.07
55420,800.7813,2.15
55442,981.4453,3.95
55463,1269.5312,6.84
55487,1743.1640,11.57
55511,2441.4062,18.55
55534,3256.8359,26.71
55559,3896.4843,33.10
55582,4052.7343,34.67
55606,3613.2812,30.27
55630,2841.7968,22.56
55654,2070.3125,14.84
55677,1494.1406,9.08
55701,1108.3984,5.22
55724,874.0234,2.88
55745,732.4219,1.46
55768,644.5313,0.59
55789,595.7031,0.10
55811,571.2891,-0.15
55834,551.7578,-0.34
55857,541.9922,-0.44
55878,537.1094,-0.49
55900,532.2266,-0.54
55921,537.1094,-0.49
55944,537.1094,-0.49
55967,532.2266,-0.54
55990,537.1094,-0.49
56011,537.1094,-0.49
56033,541.9922,-0.44
56054,537.1094,-0.49
56077,537.1094,-0.49
56100,532.2266,-0.54
56123,537.1094,-0.49
56145,537.1094,-0.49
56167,532.2266,-0.54
56188,541.9922,-0.44
56211,532.2266,-0.54
56233,541.9922,-0.44
56257,556.6406,-0.29
56280,595.7031,0.10
56301,639.6484,0.54
56323,708.0078,1.22
56345,834.9609,2.49
56367,1020.5078,4.35
56389,1342.7734,7.57
56413,1811.5234,12.26
56436,2514.6484,19.29
56461,3320.3125,27.34
56484,3945.3125,33.59
56508,4028.3203,34.42
56532,3510.7421,29.25
56556,2695.3125,21.09
56580,1938.4765,13.52
56604,1381.8359,7.96
56627,1049.8046,4.64
56649,844.7266,2.59
56672,722.6563,1.37
56693,649.4141,0.63
56715,600.5859,0.15
56737,576.1719,-0.10
56760,561.5234,-0.24
56781,546.8750,-0.39
56804,541.9922,-0.44
56826,541.9922,-0.44
56850,541.9922,-0.44
56872,546.8750,-0.39
56894,541.9922,-0.44
56915,541.9922,-0.44
56938,541.9922,-0.44
56961,541.9922,-0.44
56984,546.8750,-0.39
57007,537.1094,-0.49
57028,537.1094,-0.49
57050,541.9922,-0.44
57071,541.9922,-0.44
57094,537.1094,-0.49
57117,546.8750,-0.39
57140,546.8750,-0.39
57161,551.7578,-0.34
57183,556.6406,-0.29
57204,581.0547,-0.05
57228,610.3516,0.24
57249,668.9453,0.83
57271,747.0703,1.61
57293,888.6719,3.03
57315,1127.9296,5.42
57337,1518.5546,9.33
57361,2089.8437,15.04
57384,2875.9765,22.90
57408,3647.4609,30.61
57433,4062.5000,34.77
57456,3876.9531,32.91
57480,3212.8906,26.27
57504,2412.1093,18.26
57528,1733.3984,11.47
57551,1259.7656,6.74
57575,966.7969,3.81
57596,795.8984,2.10
57618,688.4766,1.02
57640,625.0000,0.39
57662,581.0547,-0.05
57684,556.6406,-0.29
57708,541.9922,-0.44
57731,541.9922,-0.44
57752,532.2266,-0.54
57774,532.2266,-0.54
57795,537.1094,-0.49
57818,537.1094,-0.49
57841,537.1094,-0.49
57864,537.1094,-0.49
57885,537.1094,-0.49
57907,537.1094,-0.49
57928,537.1094,-0.49
57951,537.1094,-0.49
57974,537.1094,-0.49
57997,532.2266,-0.54
58019,532.2266,-0.54
58041,532.2266,-0.54
58062,532.2266,-0.54
58085,537.1094,-0.49
58107,546.8750,-0.39
58131,571.2891,-0.15
58153,615.2344,0.29
58175,688.4766,1.02
58196,776.3672,1.90
58219,937.5000,3.51
58241,1176.7578,5.91
58263,1577.1484,9.91
58287,2172.8515,15.87
58310,2949.2187,23.63
58334,3710.9375,31.25
58358,4072.2656,34.86
58382,3808.5937,32.23
58406,3085.9375,25.00
58430,2275.3906,16.89
58454,1625.9765,10.40
58478,1181.6406,5.96
58501,927.7344,3.42
58522,771.4844,1.85
58545,683.5938,0.98
58566,620.1172,0.34
58588,590.8203,0.05
58610,571.2891,-0.15
58633,551.7578,-0.34
58654,541.9922,-0.44
58676,537.1094,-0.49
58698,541.9922,-0.44
58721,537.1094,-0.49
58744,546.8750,-0.39
58767,537.1094,-0.49
58788,541.9922,-0.44
58810,537.1094,-0.49
58831,541.9922,-0.44
58854,546.8750,-0.39
58877,546.8750,-0.39
58900,541.9922,-0.44
58921,541.9922,-0.44
58943,541.9922,-0.44
58964,537.1094,-0.49
58987,541.9922,-0.44
59010,546.8750,-0.39
59033,551.7578,-0.34
59056,571.2891,-0.15
59077,610.3516,0.24
59099,659.1797,0.73
59121,737.3047,1.51
59143,878.9063,2.93
59164,1098.6328,5.13
59188,1474.6093,8.89
59210,2036.1328,14.50
59234,2807.6171,22.22
59258,3598.6328,30.13
59282,4047.8515,34.62
59305,3920.8984,33.35
59330,3281.2500,26.95
59354,2485.3515,18.99
59377,1791.9921,12.06
59402,1298.8281,7.13
59424,986.3281,4.00
59446,810.5469,2.25
59468,698.2422,1.12
59490,625.0000,0.39
59511,590.8203,0.05
59534,561.5234,-0.24
59555,541.9922,-0.44
59577,537.1094,-0.49
59599,532.2266,-0.54
59622,537.1094,-0.49
59645,537.1094,-0.49
59668,537.1094,-0.49
59689,537.1094,-0.49
59711,537.1094,-0.49
59732,532.2266,-0.54
59755,541.9922,-0.44
59779,537.1094,-0.49
59801,537.1094,-0.49
59823,541.9922,-0.44
59844,537.1094,-0.49
59866,532.2266,-0.54
59888,532.2266,-0.54
59912,532.2266,-0.54
59934,541.9922,-0.44
59956,541.9922,-0.44
59977,566.4063,-0.20
59999,615.2344,0.29
60020,664.0625,0.78
60043,766.6016,1.81
60064,903.3203,3.17
60086,1142.5781,5.57
60109,1518.5546,9.33
60132,2084.9609,14.99
60156,2851.5625,22.66
60180,3623.0468,30.37
60204,4057.6171,34.72
60228,3881.8359,32.96
60252,3208.0078,26.22
60275,2382.8125,17.97
60300,1704.1015,11.18
60323,1235.3515,6.49
60346,952.1484,3.66
60368,791.0156,2.05
60390,693.3594,1.07
60411,629.8828,0.44
60434,590.8203,0.05
60455,566.4063,-0.20
60477,551.7578,-0.34
60499,541.9922,-0.44
60523,546.8750,-0.39
60546,541.9922,-0.44
60567,541.9922,-0.44
60589,546.8750,-0.39
60610,541.9922,-0.44
60633,541.9922,-0.44
60656,541.9922,-0.44
60679,546.8750,-0.39
60701,541.9922,-0.44
60723,541.9922,-0.44
60744,537.1094,-0.49
60767,537.1094,-0.49
60789,541.9922,-0.44
60813,537.1094,-0.49
60835,546.8750,-0.39
60857,541.9922,-0.44
60878,551.7578,-0.34
60900,566.4063,-0.20
60922,600.5859,0.15
60945,649.4141,0.63
60966,732.4219,1.46
60988,854.4922,2.68
61010,1064.4531,4.78
61033,1416.0156,8.30
61056,1953.1250,13.67
61080,2714.8437,21.29
61104,3510.7421,29.25
61128,4013.6718,34.28
61152,3974.6093,33.89
61175,3388.6718,28.03
61200,2587.8906,20.02
61223,1875.0000,12.89
61247,1352.5390,7.67
61271,1030.2734,4.44
61293,825.1953,2.39
61315,703.1250,1.17
61337,639.6484,0.54
61359,590.8203,0.05
61380,566.4063,-0.20
61403,546.8750,-0.39
61426,537.1094,-0.49
61449,532.2266,-0.54
61470,537.1094,-0.49
61492,532.2266,-0.54
61513,537.1094,-0.49
61536,537.1094,-0.49
61559,541.9922,-0.44
61582,537.1094,-0.49
61603,541.9922,-0.44
61625,537.1094,-0.49
61646,537.1094,-0.49
61669,537.1094,-0.49
61692,527.3438,-0.59
61715,537.1094,-0.49
61736,532.2266,-0.54
61758,537.1094,-0.49
61779,537.1094,-0.49
61802,541.9922,-0.44
61825,571.2891,-0.15
61848,610.3516,0.24
61870,664.0625,0.78
61891,756.8359,1.71
61914,893.5547,3.08
61935,1118.1640,5.32
61958,1489.2578,9.03
61981,2031.2500,14.45
62005,2778.3203,21.92
62028,3569.3359,29.83
62053,4047.8515,34.62
62076,3925.7812,33.40
62100,3271.4843,26.85
62125,2441.4062,18.55
62148,1752.9296,11.67
62173,1269.5312,6.84
62195,981.4453,3.95
62217,805.6641,2.20
62239,703.1250,1.17
62261,634.7656,0.49
62282,595.7031,0.10
62305,571.2891,-0.15
62327,551.7578,-0.34
62349,546.8750,-0.39
62370,546.8750,-0.39
62392,537.1094,-0.49
62414,541.9922,-0.44
62437,537.1094,-0.49
62460,541.9922,-0.44
62483,541.9922,-0.44
62504,541.9922,-0.44
62526,546.8750,-0.39
62547,546.8750,-0.39
62570,541.9922,-0.44
62594,537.1094,-0.49
62616,541.9922,-0.44
62638,541.9922,-0.44
62659,537.1094,-0.49
62681,541.9922,-0.44
62703,546.8750,-0.39
62727,551.7578,-0.34
62749,566.4063,-0.20
62771,600.5859,0.15
62792,639.6484,0.54
62815,727.5391,1.42
62836,844.7266,2.59
62858,1044.9218,4.59
62881,1381.8359,7.96
62904,1899.4140,13.13
62927,2636.7187,20.51
62952,3442.3828,28.56
62976,3994.1406,34.08
62999,4003.9062,34.18
63024,3452.1484,28.66
63047,2651.3671,20.65
63071,1933.5937,13.48
63095,1401.3671,8.15
63118,1054.6875,4.69
63140,844.7266,2.59
63163,717.7734,1.32
63184,644.5313,0.59
63206,600.5859,0.15
63228,566.4063,-0.20
63250,551.7578,-0.34
63271,541.9922,-0.44
63293,537.1094,-0.49
63315,532.2266,-0.54
63339,537.1094,-0.49
63362,537.1094,-0.49
63383,537.1094,-0.49
63405,532.2266,-0.54
63426,537.1094,-0.49
63449,541.9922,-0.44
63472,541.9922,-0.44
63495,541.9922,-0.44
63516,541.9922,-0.44
63538,532.2266,-0.54
63559,537.1094,-0.49
63582,527.3438,-0.59
63604,537.1094,-0.49
63628,537.1094,-0.49
63650,546.8750,-0.39
63672,561.5234,-0.24
63693,605.4688,0.19
63715,659.1797,0.73
63737,742.1875,1.56
63759,878.9063,2.93
63780,1093.7500,5.08
63804,1450.1953,8.64
63826,1987.3046,14.01
63850,2724.6093,21.39
63875,3510.7421,29.25
63898,4018.5546,34.33
63923,3955.0781,33.69
63946,3339.8437,27.54
63970,2529.2968,19.43
63994,1811.5234,12.26
64018,1313.4765,7.27
64040,1005.8594,4.20
64064,815.4297,2.29
64086,708.0078,1.22
64107,639.6484,0.54
64130,600.5859,0.15
64151,571.2891,-0.15
64173,556.6406,-0.29
64195,546.8750,-0.39
64218,546.8750,-0.39
64241,537.1094,-0.49
64264,541.9922,-0.44
64285,537.1094,-0.49
64307,541.9922,-0.44
64328,537.1094,-0.49
64351,546.8750,-0.39
64374,541.9922,-0.44
64397,541.9922,-0.44
64418,546.8750,-0.39
64440,541.9922,-0.44
64461,541.9922,-0.44
64484,541.9922,-0.44
64507,541.9922,-0.44
64530,541.9922,-0.44
64551,546.8750,-0.39
64573,551.7578,-0.34
64594,566.4063,-0.20
64617,595.7031,0.10
64640,644.5313,0.59
64661,717.7734,1.32
64683,839.8438,2.54
64705,1040.0390,4.54
64728,1367.1875,7.81
64750,1870.1171,12.84
64775,2607.4218,20.21
64798,3417.9687,28.32
64822,3974.6093,33.89
64846,4003.9062,34.18
64870,3491.2109,29.05
64894,2705.0781,21.19
64918,1972.6562,13.87
64942,1420.8984,8.35
64965,1069.3359,4.83
64988,849.6094,2.64
65009,722.6563,1.37
65032,644.5313,0.59
65053,600.5859,0.15
65075,566.4063,-0.20
65097,546.8750,-0.39
65121,546.8750,-0.39
65143,537.1094,-0.49
65165,532.2266,-0.54
65186,532.2266,-0.54
65208,532.2266,-0.54
65230,537.1094,-0.49
65254,537.1094,-0.49
65276,532.2266,-0.54
65298,541.9922,-0.44
65319,541.9922,-0.44
65341,537.1094,-0.49
65363,537.1094,-0.49
65386,537.1094,-0.49
65410,537.1094,-0.49
65432,527.3438,-0.59
65454,537.1094,-0.49
65475,532.2266,-0.54
65497,546.8750,-0.39
65519,561.5234,-0.24
65543,610.3516,0.24
65564,649.4141,0.63
65586,737.3047,1.51
65608,883.7891,2.98
65630,1083.9843,4.98
65652,1440.4296,8.54
65676,1958.0078,13.72
65699,2695.3125,21.09
65723,3481.4453,28.95
65747,4013.6718,34.28
65771,3979.4921,33.93
65795,3378.9062,27.93
65819,2568.3593,19.82
65843,1840.8203,12.55
65866,1328.1250,7.42
65890,1015.6250,4.30
65912,825.1953,2.39
65934,712.8906,1.27
65956,644.5313,0.59
65978,600.5859,0.15
65999,571.2891,-0.15
66023,556.6406,-0.29
66045,546.8750,-0.39
66067,541.9922,-0.44
66088,537.1094,-0.49
66110,537.1094,-0.49
66132,541.9922,-0.44
66156,541.9922,-0.44
66179,541.9922,-0.44
66200,541.9922,-0.44
66222,541.9922,-0.44
66243,541.9922,-0.44
66266,541.9922,-0.44
66289,541.9922,-0.44
66312,546.8750,-0.39
66333,541.9922,-0.44
66355,537.1094,-0.49
66376,546.8750,-0.39
66399,546.8750,-0.39
66422,551.7578,-0.34
66445,561.5234,-0.24
66466,600.5859,0.15
66488,644.5313,0.59
66510,717.7734,1.32
66532,830.0781,2.44
66553,1030.2734,4.44
66577,1357.4218,7.71
66599,1855.4687,12.69
66623,2568.3593,19.82
66648,3378.9062,27.93
66671,3969.7265,33.84
66695,4023.4375,34.37
66719,3520.5078,29.35
66743,2744.1406,21.58
66766,2001.9531,14.16
66791,1440.4296,8.54
66813,1088.8671,5.03
66836,864.2578,2.78
66859,732.4219,1.46
66880,649.4141,0.63
66902,600.5859,0.15
66924,571.2891,-0.15
66946,541.9922,-0.44
66967,537.1094,-0.49
66989,537.1094,-0.49
67011,532.2266,-0.54
67035,537.1094,-0.49
67057,541.9922,-0.44
67079,537.1094,-0.49
67100,537.1094,-0.49
67122,532.2266,-0.54
67144,537.1094,-0.49
67168,537.1094,-0.49
67190,537.1094,-0.49
67213,537.1094,-0.49
67234,532.2266,-0.54
67256,532.2266,-0.54
67278,532.2266,-0.54
67301,532.2266,-0.54
67324,537.1094,-0.49
67347,551.7578,-0.34
67368,566.4063,-0.20
67390,600.5859,0.15
67411,654.2969,0.68
67434,742.1875,1.56
67456,874.0234,2.88
67477,1074.2187,4.88
67501,1425.7812,8.40
67523,1938.4765,13.52
67547,2661.1328,20.75
67571,3452.1484,28.66
67595,3999.0234,34.13
67619,3994.1406,34.08
67643,3417.9687,28.32
67666,2602.5390,20.17
67691,1875.0000,12.89
67715,1352.5390,7.67
67737,1030.2734,4.44
67761,834.9609,2.49
67782,722.6563,1.37
67804,644.5313,0.59
67826,600.5859,0.15
67848,576.1719,-0.10
67870,556.6406,-0.29
67893,546.8750,-0.39
67916,546.8750,-0.39
67939,537.1094,-0.49
67960,537.1094,-0.49
67982,537.1094,-0.49
68003,541.9922,-0.44
68026,546.8750,-0.39
68049,546.8750,-0.39
68072,546.8750,-0.39
68093,546.8750,-0.39
68115,551.7578,-0.34
68136,541.9922,-0.44
68159,541.9922,-0.44
68183,546.8750,-0.39
68205,541.9922,-0.44
68227,541.9922,-0.44
68248,541.9922,-0.44
68270,551.7578,-0.34
68292,566.4063,-0.20
68316,581.0547,-0.05
68338,629.8828,0.44
68360,678.7109,0.93
68382,781.2500,1.95
68404,942.3828,3.56
68425,1196.2890,6.10
68449,1611.3281,10.25
68472,2246.0937,16.60
68496,3041.9921,24.56
68520,3779.2968,31.93
68544,4077.1484,34.91
68568,3784.1796,31.98
68592,3085.9375,25.00
68616,2290.0390,17.04
68639,1660.1562,10.74
68664,1210.9375,6.25
68686,947.2656,3.61
68708,776.3672,1.90
68730,678.7109,0.93
68752,615.2344,0.29
68773,585.9375,-0.00
68797,556.6406,-0.29
68818,541.9922,-0.44
68840,537.1094,-0.49
68861,537.1094,-0.49
68884,532.2266,-0.54
68908,537.1094,-0.49
68930,541.9922,-0.44
68952,532.2266,-0.54
68973,532.2266,-0.54
68995,541.9922,-0.44
69017,541.9922,-0.44
69041,537.1094,-0.49
69063,532.2266,-0.54
69085,537.1094,-0.49
69106,537.1094,-0.49
69128,527.3438,-0.59
69150,532.2266,-0.54
69173,532.2266,-0.54
69196,537.1094,-0.49
69219,551.7578,-0.34
69240,576.1719,-0.10
69263,615.2344,0.29
69285,668.9453,0.83
69307,761.7188,1.76
69328,913.0859,3.27
69351,1137.6953,5.52
69373,1523.4375,9.37
69396,2070.3125,14.84
69421,2836.9140,22.51
69444,3603.5156,30.18
69468,4047.8515,34.62
69492,3916.0156,33.30
69516,3261.7187,26.76
69539,2451.1718,18.65
69564,1757.8125,11.72
69587,1279.2968,6.93
69611,986.3281,4.00
69633,805.6641,2.20
69654,703.1250,1.17
69676,634.7656,0.49
69698,600.5859,0.15
69720,571.2891,-0.15
69742,546.8750,-0.39
69765,546.8750,-0.39
69788,546.8750,-0.39
69811,541.9922,-0.44
69832,541.9922,-0.44
69854,541.9922,-0.44
69875,541.9922,-0.44
69898,541.9922,-0.44
69921,546.8750,-0.39
69944,541.9922,-0.44
69965,546.8750,-0.39
69987,541.9922,-0.44
70008,541.9922,-0.44
70031,537.1094,-0.49
70054,541.9922,-0.44
70077,541.9922,-0.44
70098,546.8750,-0.39
70120,541.9922,-0.44
70141,551.7578,-0.34
70164,576.1719,-0.10
70188,585.9375,-0.00
70210,629.8828,0.44
70232,698.2422,1.12
70254,800.7813,2.15
70276,976.5625,3.91
70297,1254.8828,6.69
70321,1704.1015,11.18
70344,2382.8125,17.97
70368,3183.5937,25.98
70392,3862.3046,32.76
70416,4072.2656,34.86
70440,3701.1718,31.15
70464,2958.9843,23.73
70488,2187.5000,16.01
70512,1577.1484,9.91
70535,1171.8750,5.86
70557,917.9688,3.32
70580,761.7188,1.76
70601,668.9453,0.83
70623,615.2344,0.29
70645,576.1719,-0.10
70668,561.5234,-0.24
70689,541.9922,-0.44
70712,532.2266,-0.54
70734,527.3438,-0.59
70758,532.2266,-0.54
70780,532.2266,-0.54
70802,532.2266,-0.54
70823,541.9922,-0.44
70845,537.1094,-0.49
70867,537.1094,-0.49
70891,537.1094,-0.49
70914,537.1094,-0.49
70935,541.9922,-0.44
70957,537.1094,-0.49
70978,537.1094,-0.49
71001,537.1094,-0.49
71023,537.1094,-0.49
71047,532.2266,-0.54
71069,537.1094,-0.49
71091,556.6406,-0.29
71112,581.0547,-0.05
71135,615.2344,0.29
71157,678.7109,0.93
71179,781.2500,1.95
71200,937.5000,3.51
71223,1181.6406,5.96
71245,1582.0312,9.96
71268,2163.0859,15.77
71292,2929.6875,23.44
71316,3686.5234,31.01
71341,4077.1484,34.91
71364,3872.0703,32.86
71388,3173.8281,25.88
71412,2373.0468,17.87
71436,1694.3359,11.08
71459,1245.1171,6.59
71483,957.0313,3.71
71504,791.0156,2.05
71526,693.3594,1.07
71548,634.7656,0.49
71570,595.7031,0.10
71591,576.1719,-0.10
71615,551.7578,-0.34
71638,546.8750,-0.39
71659,541.9922,-0.44
71681,537.1094,-0.49
71702,537.1094,-0.49
71725,541.9922,-0.44
71748,541.9922,-0.44
71771,546.8750,-0.39
71792,537.1094,-0.49
71814,541.9922,-0.44
71835,541.9922,-0.44
71858,541.9922,-0.44
71881,541.9922,-0.44
71904,537.1094,-0.49
71925,541.9922,-0.44
71947,537.1094,-0.49
71968,541.9922,-0.44
71991,546.8750,-0.39
72014,551.7578,-0.34
72037,561.5234,-0.24
72058,600.5859,0.15
72080,639.6484,0.54
72102,703.1250,1.17
72124,815.4297,2.29
72145,1000.9766,4.15
72169,1298.8281,7.13
72192,1777.3437,11.91
72215,2475.5859,18.90
72240,3281.2500,26.95
72263,3920.8984,33.35
72287,4057.6171,34.72
72311,3627.9296,30.42
72335,2861.3281,22.75
72358,2114.2578,15.28
72383,1533.2031,9.47
72406,1142.5781,5.57
72428,893.5547,3.08
72451,756.8359,1.71
72472,664.0625,0.78
72494,610.3516,0.24
72516,566.4063,-0.20
72538,551.7578,-0.34
72559,537.1094,-0.49
72581,541.9922,-0.44
72603,532.2266,-0.54
72627,537.1094,-0.49
72649,537.1094,-0.49
72671,537.1094,-0.49
72692,537.1094,-0.49
72714,532.2266,-0.54
72736,537.1094,-0.49
72759,537.1094,-0.49
72782,532.2266,-0.54
72805,541.9922,-0.44
72826,532.2266,-0.54
72848,537.1094,-0.49
72869,532.2266,-0.54
72892,527.3438,-0.59
72915,532.2266,-0.54
72938,541.9922,-0.44
72960,566.4063,-0.20
72981,600.5859,0.15
73003,644.5313,0.59
73025,732.4219,1.46
73047,854.4922,2.68
73068,1054.6875,4.69
73092,1372.0703,7.86
73114,1860.3515,12.74
73138,2563.4765,19.77
73162,3359.3750,27.73
73186,3950.1953,33.64
73210,4038.0859,34.52
73234,3530.2734,29.44
73257,2739.2578,21.53
73282,1982.4218,13.96
73306,1430.6640,8.45
73328,1083.9843,4.98
73352,859.3750,2.73
73373,737.3047,1.51
73395,664.0625,0.78
73417,610.3516,0.24
73439,576.1719,-0.10
73461,561.5234,-0.24
73484,556.6406,-0.29
73507,546.8750,-0.39
73530,541.9922,-0.44
73551,541.9922,-0.44
73573,537.1094,-0.49
73594,541.9922,-0.44
73617,537.1094,-0.49
73640,541.9922,-0.44
73663,541.9922,-0.44
73684,541.9922,-0.44
73706,546.8750,-0.39
73728,541.9922,-0.44
73750,537.1094,-0.49
73774,541.9922,-0.44
73796,541.9922,-0.44
73818,541.9922,-0.44
73839,541.9922,-0.44
73861,546.8750,-0.39
73883,551.7578,-0.34
73906,585.9375,-0.00
73929,615.2344,0.29
73951,678.7109,0.93
73972,766.6016,1.81
73995,917.9688,3.32
74016,1152.3437,5.66
74039,1542.9687,9.57
74062,2133.7890,15.48
74086,2900.3906,23.14
74110,3662.1093,30.76
74134,4067.3828,34.81
74158,3891.6015,33.06
74182,3242.1875,26.56
74206,2456.0546,18.70
74229,1777.3437,11.91
74254,1293.9453,7.08
74276,996.0938,4.10
74298,815.4297,2.29
74320,703.1250,1.17
74342,629.8828,0.44
74363,590.8203,0.05
74386,566.4063,-0.20
74408,546.8750,-0.39
74430,532.2266,-0.54
74451,537.1094,-0.49
74474,537.1094,-0.49
74497,532.2266,-0.54
74520,537.1094,-0.49
74543,537.1094,-0.49
74564,541.9922,-0.44
74586,537.1094,-0.49
74607,537.1094,-0.49
74630,541.9922,-0.44
74653,537.1094,-0.49
74676,537.1094,-0.49
74697,532.2266,-0.54
74719,532.2266,-0.54
74740,532.2266,-0.54
74763,537.1094,-0.49
74786,537.1094,-0.49
74809,551.7578,-0.34
74830,571.2891,-0.15
74852,620.1172,0.34
74873,693.3594,1.07
74896,795.8984,2.10
74917,947.2656,3.61
74939,1201.1718,6.15
74962,1606.4453,10.20
74986,2221.6796,16.36
75010,2993.1640,24.07
75034,3735.3515,31.49
75058,4077.1484,34.91
75081,3828.1250,32.42
75106,3125.0000,25.39
75129,2324.2187,17.38
75154,1669.9218,10.84
75177,1220.7031,6.35
75200,952.1484,3.66
